,AAPL_Price,consumer_sentiment,dollar_index,corp_profits,retail_sales,sentiment_weight
2022-12-10,146.19214900847405,-0.48825065274151447,122.0147,2846.0355211961546,14876.0,12736.884108540817
2022-12-11,146.14623137443297,-0.48825065274151447,122.0147,2847.5931294267366,14876.0,12615.72459447089
2022-12-12,146.1003137403919,-0.48825065274151447,122.0147,2849.2075143879656,14876.0,12610.86333710329
2022-12-13,146.0543961063508,-0.48825065274151447,122.0147,2850.8786760798403,14876.0,12722.16991191947
2022-12-14,146.00847847230972,-0.48825065274151447,122.0147,2852.6066145023624,14876.0,12959.482540325316
2022-12-15,145.96256083826864,-0.48825065274151447,122.0147,2854.3913296555297,14876.0,13345.102426584452
2022-12-16,145.91664320422757,-0.48825065274151447,122.0147,2856.2328215393436,14876.0,13920.139849685525
2022-12-17,145.8707255701865,-0.48825065274151447,122.0147,2858.1232982162824,14876.0,14758.725465556196
2022-12-18,145.82480793614542,-0.48825065274151447,122.0147,2860.0160080612122,14876.0,16001.73341673477
2022-12-19,145.77889030210434,-0.48825065274151447,122.0147,2861.9031591366106,14876.0,17949.394257473952
2022-12-20,145.73297266806327,-0.48825065274151447,122.0147,2863.784751442479,14876.0,21388.20180682561
2022-12-21,145.68705503402217,-0.48825065274151447,122.0147,2865.660784978815,14876.0,29467.809965798446
2022-12-22,145.6411373999811,-0.48825065274151447,122.0147,2867.5312597456204,14876.0,1632610.0502210613
2022-12-23,145.59521976594002,-0.48825065274151447,122.0147,2869.396175742895,14876.0,1631584.3046983122
2022-12-24,145.54930213189894,-0.48825065274151447,122.0147,2871.2555329706383,14876.0,1630558.8814998388
2022-12-25,145.50338449785787,-0.48825065274151447,122.0147,2873.109331428851,14876.0,1629533.7806418915
2022-12-26,145.4574668638168,-0.48825065274151447,122.0147,2874.9575711175326,14876.0,1628509.002066694
2022-12-27,145.41154922977572,-0.48825065274151447,122.0147,2876.800252036683,14876.0,1627484.5458772318
2022-12-28,145.36563159573464,-0.48825065274151447,122.0147,2878.6373741863026,14876.0,1626460.411995901
2022-12-29,145.31971396169354,-0.48825065274151447,122.0147,2880.4689375663916,14876.0,1625436.6004205158
2022-12-30,145.27379632765246,-0.48654209430761286,121.9991465437788,2882.2949421769495,14863.857142857143,1624413.1112053578
2022-12-31,145.2278786936114,-0.4831249774398096,121.96803963133641,2884.1153880179754,14839.57142857143,1623389.9443211302
2023-01-01,145.1819610595703,-0.4779993021381045,121.9213792626728,2885.9302750894717,14803.142857142857,1622367.0997666854
2023-01-02,145.13604342552924,-0.471165068402498,121.85916543778804,2887.739603391436,14754.57142857143,1621344.5775498163
2023-01-03,145.09012579148816,-0.46262227623298974,121.78139815668203,2889.5433729238694,14693.857142857143,1620322.377595762
2023-01-04,145.0442081574471,-0.4523709256295798,121.68807741935484,2891.3415836867716,14621.0,1619300.5000311218
2023-01-05,144.99829052340598,-0.4404110165922683,121.57920322580644,2893.1342356801442,14536.0,1618278.9447497546
2023-01-06,144.9523728893649,-0.4284511075549567,121.47032903225806,2894.9213289039844,14451.0,1617257.7118329122
2023-01-07,144.90645525532383,-0.41649119851764516,121.36145483870969,2896.7028633582945,14366.0,1616236.8012649617
2023-01-08,144.86053762128276,-0.40453128948033357,121.25258064516129,2898.4788390430726,14281.0,1615216.2130184132
2023-01-09,144.81461998724168,-0.39257138044302203,121.14370645161291,2900.2492559583206,14196.0,1614195.9470863952
2023-01-10,144.7687023532006,-0.3806114714057105,121.03483225806451,2902.0141141040376,14111.0,1613176.0034920142
